
> english-learning-server@1.0.0 start
> node index.js

MySQL 数据库和表结构初始化完成
✅ 服务器已启动，监听端口: 3000
📡 API地址: https://localhost:3000/api
💾 数据库: MySQL
2026-08-03T13:28:34.833Z - POST /api/word/status/known
2026-08-03T13:28:35.027Z - GET /api/words/wrong?limit=1
2026-08-03T13:28:35.620Z - GET /api/settings?userId=76
2026-08-03T13:28:35.621Z - GET /api/achievement?userId=76
2026-08-03T13:28:39.621Z - POST /api/word/status/unknown
2026-08-03T13:28:39.832Z - GET /api/words/wrong?limit=1
2026-08-03T13:28:40.416Z - GET /api/achievement?userId=76
2026-08-03T13:28:40.421Z - GET /api/settings?userId=76
2026-08-03T13:28:46.372Z - POST /api/word/status/known
2026-08-03T13:28:46.585Z - GET /api/words/wrong?limit=1
2026-08-03T13:28:47.191Z - GET /api/settings?userId=76
2026-08-03T13:28:47.192Z - GET /api/achievement?userId=76
2026-08-03T13:28:53.712Z - POST /api/word/status/known
2026-08-03T13:28:53.868Z - GET /api/words/wrong?limit=1
2026-08-03T13:28:57.948Z - GET /api/achievement?userId=76
2026-08-03T13:28:57.968Z - GET /api/settings?userId=76
2026-08-03T13:29:10.951Z - POST /api/word/status/unknown
2026-08-03T13:29:11.168Z - GET /api/words/wrong?limit=1
2026-08-03T13:29:11.829Z - GET /api/settings?userId=76
2026-08-03T13:29:11.831Z - GET /api/achievement?userId=76
2026-08-03T13:29:25.796Z - POST /api/word/status/known
2026-08-03T13:29:26.045Z - GET /api/words/wrong?limit=1
2026-08-03T13:29:26.490Z - POST /api/user/stats/study-time
2026-08-03T13:29:26.627Z - GET /api/achievement?userId=76
2026-08-03T13:29:26.686Z - GET /api/settings?userId=76
2026-08-03T13:29:27.272Z - GET /api/achievement?userId=76
2026-08-03T13:29:27.292Z - GET /api/settings?userId=76
2026-08-03T13:29:29.890Z - POST /api/word/status/known
2026-08-03T13:29:30.129Z - GET /api/words/wrong?limit=1
2026-08-03T13:29:30.738Z - GET /api/achievement?userId=76
2026-08-03T13:29:30.776Z - GET /api/settings?userId=76
2026-08-03T13:29:36.842Z - POST /api/word/status/known
2026-08-03T13:29:36.966Z - GET /api/words/wrong?limit=1
